Краткое наименование;Адрес ОУ;Район
Вторая Санкт-Петербургская Гимназия;Санкт-Петербург г, Казанская ул, 27, А, 190031;Адмиралтейский
ГБОУ Гимназия №272;Санкт-Петербург г, 8-я Красноармейская ул, 3, А, 190103;Адмиралтейский
ГБОУ гимназия №278;Санкт-Петербург г, Дровяная ул, 7, а, 190103;Адмиралтейский
ГБОУ гимназия №11;Санкт-Петербург г, 16-я В.О. линия, 55, А, 199178;Василеостровский
ГБОУ гимназия №24;Санкт-Петербург г, Средний пр-кт, 20, 199004;Василеостровский
ГБОУ гимназия №32;Санкт-Петербург г, 2-я В.О. линия, 43, В, 199004;Василеостровский
ГБОУ гимназия №586;Санкт-Петербург г, Кораблестроителей ул, 37, 5, 199058;Василеостровский
ГБОУ гимназия №642;Санкт-Петербург г, Гаванская ул, 54, Б, 199406;Василеостровский
ГБОУ гимназия №061;Санкт-Петербург г, Художников пр-кт, 29, А, 3, 194295;Выборгский
ГБОУ гимназия №073;Санкт-Петербург г, Энгельса пр-кт, 115, А, 2, 194354;Выборгский
ГБОУ гимназия №074;Санкт-Петербург г, Болотная ул, 6, 194021;Выборгский
ГБОУ гимназия №092;Санкт-Петербург г, Тореза пр-кт, 94, А, 1, 194017;Выборгский
ГБОУ гимназия №105;Санкт-Петербург г, Орбели ул, 24, А, 194223;Выборгский
ГБОУ гимназия №107;Санкт-Петербург г, Выборгская ул, 3, А, 194044;Выборгский
ГБОУ гимназия №114;Санкт-Петербург г, Есенина ул, 34, 2, 194358;Выборгский
ГБОУ гимназия №622;Санкт-Петербург г, Выборгское ш, 7, А, 2, 194356;Выборгский
ГБОУ гимназия №652;Санкт-Петербург г, Тореза пр-кт, 41 литер А, 194223;Выборгский
ГБОУ гимназия №192;Санкт-Петербург г, Брюсовская ул, 10, А, 195271;Калининский
ГБОУ Гимназия №63;Санкт-Петербург г, Культуры пр-кт, 11, А, 4, 195274;Калининский
ГБОУ гимназия №148;Санкт-Петербург г, Академика Константинова ул, 10, А, 2, 195427;Калининский
ГБОУ Гимназия №159;Санкт-Петербург г, Мечникова пр-кт, 16, А, 195271;Калининский
ГБОУ Гимназия №248;Санкт-Петербург г, Народного Ополчения пр-кт, 103, А, 198215;Кировский
ГБОУ гимназия №261;Санкт-Петербург г, Стачек пр-кт, 103, А, 2, 198302;Кировский
ГБОУ Гимназия №284;Санкт-Петербург г, Народного Ополчения пр-кт, 135, литер А, 198217;Кировский
ГБОУ гимназия №397;Санкт-Петербург г, Маршала Говорова ул, 9, А, 198188;Кировский
ГБОУ гимназия №402;Санкт-Петербург г, Колпино г, Тверская ул, 18, А, 196655;Колпинский
ГБОУ гимназия №446;Санкт-Петербург г, Колпино г, Заводской пр-кт, 18, А, 2, 196657;Колпинский
ГБОУ гимназия №177;Санкт-Петербург г, Ириновский пр-кт, 23, А, 2, 195279;Красногвардейский
ГБОУ гимназия №196;Санкт-Петербург г, Ударников пр-кт, 31, А, 195279;Красногвардейский
ГБОУ гимназия №405;Санкт-Петербург г, Наставников пр-кт, 40, А, 2, 195279;Красногвардейский
ГБОУ гимназия №628;Санкт-Петербург г, Коммуны ул, 42, А, 3, 195030;Красногвардейский
ГБОУ гимназия №664;Санкт-Петербург г, Маршала Блюхера пр-кт, 57, А, 3, 195067;Красногвардейский
ЧОУ Гимназия Петершуле;Санкт-Петербург г, Заневский пр-кт, 53, А, 2, 195213;Красногвардейский
ГБОУ гимназия №271;Санкт-Петербург г, Кузнецова пр-кт, 25, А, 3, 198328;Красносельский
ГБОУ гимназия №293;Санкт-Петербург г, Ленинский пр-кт, 94, А, 2, 198332;Красносельский
ГБОУ гимназия №399;Санкт-Петербург г, Добровольцев ул, 60, А, 2, 198334;Красносельский
ГБОУ гимназия №505;Санкт-Петербург г, Тамбасова ул, 26, А, 1, 198259;Красносельский
ГБОУ гимназия №433;Санкт-Петербург г, Сестрорецк г, Свободы пл, 6, А, 197706;Курортный
ГБОУ гимназия №524;Санкт-Петербург г, Юрия Гагарина пр-кт, 22, А, 3, 196211;Московский
ГБОУ гимназия №526;Санкт-Петербург г, Алтайская ул, 15, А, 196066;Московский
ГБОУ гимназия №330;Санкт-Петербург г, Хрустальная ул, 12, А, 192019;Невский
ГБОУ гимназия №343;Санкт-Петербург г, Крыленко ул, 33, Б, 2, 193232;Невский
ГБОУ гимназия №498;Санкт-Петербург г, Новосёлов ул, 21, Ш, 193079;Невский
ГБОУ гимназия №513;Санкт-Петербург г, Латышских Стрелков ул, 9, А, 3, 193231;Невский
ГБОУ гимназия №528;Санкт-Петербург г, Коллонтай ул, 41, А, 2, 193312;Невский
ГБОУ Гимназия №56;Санкт-Петербург г, Чкаловский пр-кт, 35, 197136;Петроградский
ГБОУ Гимназия №610;Санкт-Петербург г, Малый ПС пр-кт, 9/6, А, 197198;Петроградский
ГБОУ Гимназия №67;Санкт-Петербург г, Профессора Попова ул, 25, А, 197022;Петроградский
ГБОУ гимназия №70;Санкт-Петербург г, Литераторов ул, 9/11, А, 197022;Петроградский
ГБОУ гимназия №85;Санкт-Петербург г, Певческий пер, 4А, 197046;Петроградский
ГБОУ гимназия №426;Санкт-Петербург г, Ломоносов г, Владимирская ул, 28, А, 198412;Петродворцовый
Петергофская гимназия;Санкт-Петербург г, Петергоф г, Санкт-Петербургский пр-кт, 43, А, 198510;Петродворцовый
ГБОУ гимназия №116;Санкт-Петербург г, Новосибирская ул, 16, А, 2, 197342;Приморский
ГБОУ гимназия №41;Санкт-Петербург г, Маршала Новикова ул, 1, А, 3, 197349;Приморский
ГБОУ гимназия №42;Санкт-Петербург г, Сизова пр-кт, 32, А, 3, 197349;Приморский
ГБОУ гимназия №49;Санкт-Петербург г, Богатырский пр-кт, 55, А, 3, 197082;Приморский
ГБОУ гимназия №52;Санкт-Петербург г, Богатырский пр-кт, 7, А, 4, 197348;Приморский
ГБОУ гимназия №631;Санкт-Петербург г, Школьная ул, 13, А, 197183;Приморский
ГБОУ гимназия №66;Санкт-Петербург г, Аэродромная ул, 11, А, 2, 197348;Приморский
ГБОУ гимназия №540;Санкт-Петербург г, Оптиков ул, 46, А, 3, 197345;Приморский
ГБОУ гимназия №406;Санкт-Петербург г, Пушкин г, Леонтьевская ул, 10, А, 196601;Пушкинский
ГБОУ Гимназия №227;Санкт-Петербург г, Турку ул, 30 литер А, 192241;Фрунзенский
ГБОУ Гимназия №295;Санкт-Петербург г, Славы пр-кт, 40, А, 5, 192238;Фрунзенский
ГБОУ Гимназия №587;Санкт-Петербург г, Будапештская ул, 79, А, 2, 192281;Фрунзенский
ГБОУ Гимназия №205;Санкт-Петербург г, Димитрова ул, 10, А, 3, 192239;Фрунзенский
ГБОУ гимназия №363;Санкт-Петербург г, Димитрова ул, 15, 3, 192284;Фрунзенский
ГБОУ Гимназия №441;Санкт-Петербург г, Олеко Дундича ул, 37, 2, 192289;Фрунзенский
ГБОУ гимназия №155;Санкт-Петербург г, Греческий пр-кт, 21, 191036;Центральный
ГБОУ гимназия №157;Санкт-Петербург г, Лафонская улица, 1, А,Б, 191124;Центральный
ГБОУ гимназия №166;Санкт-Петербург г, Прудковский пер, 1/8, А, 191036;Центральный
ГБОУ гимназия №168;Санкт-Петербург г, Невский пр-кт, 169, А, 191167;Центральный
ГБОУ гимназия №171;Санкт-Петербург г, Маяковского ул, 9/16, 191014;Центральный
ГБОУ гимназия №209;Санкт-Петербург г, Восстания ул, 8, А, 191025;Центральный
